elapsed_s,unix_ns,request_ms,graphics_mhz,memory_mhz,voltage_mv,power_w,temperature_c,utilization_pct,throttle_mask
8.70234376200051,1790456282834057603,3.7189820000094187,2805,16801,915,252.895,53.0,99,4
8.802387016500234,1790456282934126753,3.7817909997102106,2805,16801,915,252.895,53.0,99,4
8.902461836999919,1790456283034291582,3.9597899999535002,2805,16801,915,252.895,53.0,99,4
9.002280203500504,1790456283133933005,3.592343000036635,2805,16801,915,252.895,53.0,99,4
9.102326928000366,1790456283234031225,3.6903919999531354,2812,16801,915,258.471,54.0,99,4
9.202308994000305,1790456283333991426,3.651001999969594,2812,16801,915,258.471,54.0,99,4
9.302338914000302,1790456283434050806,3.709321999849635,2812,16801,915,258.471,54.0,99,4
9.402232285500304,1790456283533839127,3.4970030001204577,2812,16801,915,258.471,54.0,99,4
9.502325654999822,1790456283634023116,3.683622000153264,2812,16801,915,258.471,54.0,99,4
9.602292880500045,1790456283733957118,3.617413000029046,2812,16801,915,257.945,54.0,99,4
9.70238007550006,1790456283834119017,3.792100999817194,2812,16801,915,257.945,54.0,99,4
9.802383535500212,1790456283934132177,3.7829410002814257,2812,16801,915,257.945,54.0,99,4
9.902221762500176,1790456284033807600,3.478493000329763,2812,16801,915,257.945,54.0,99,4
10.00230509200037,1790456284133966239,3.6423919996195764,2812,16801,915,257.945,54.0,99,4
10.102367767000032,1790456284234081178,3.7498219999179128,2812,16801,915,257.711,54.0,99,4
10.202450496999973,1790456284333969610,3.9134800003921555,2812,16801,915,257.711,54.0,99,4
10.302312533000531,1790456284433970200,3.638071999830572,2812,16801,915,257.711,54.0,99,4
10.402293973500036,1790456284533956011,3.618892999838863,2812,16801,915,257.711,54.0,99,4
10.502294489000178,1790456284633957051,3.6192019997542957,2812,16801,915,257.711,54.0,99,4
10.602310679500079,1790456284733963501,3.629822999755561,2812,16801,915,257.993,54.0,99,4
10.702372174500397,1790456284834112620,3.7753310002699436,2812,16801,915,257.993,54.0,99,4
10.802346965000197,1790456284934049971,3.703551999933552,2812,16801,915,257.993,54.0,99,4
10.902209395999762,1790456285033783524,3.4463540000615467,2812,16801,915,257.993,54.0,99,4
11.00230866100037,1790456285133984753,3.6483620001490635,2812,16801,915,257.993,54.0,99,4
11.102281076500276,1790456285233900104,3.571873000055348,2812,16801,915,258.2,54.0,99,4
11.202378226500059,1790456285334121072,3.7868109998271393,2812,16801,915,258.2,54.0,99,4
11.302334141999836,1790456285434033773,3.6989619998166745,2812,16801,915,258.2,54.0,99,4
11.402294437500132,1790456285533958095,3.6192730003676843,2812,16801,915,258.2,54.0,99,4
11.502331277999929,1790456285634030184,3.6923720003869676,2812,16801,915,258.2,54.0,99,4
11.602290303500013,1790456285733922356,3.5938430000896915,2812,16801,915,258.388,54.0,99,4
11.702380838500176,1790456285834104824,3.77709100030188,2812,16801,915,258.388,54.0,99,4
11.802362188499956,1790456285934045065,3.745790999801102,2812,16801,915,258.388,54.0,99,4
11.902235380000093,1790456286033829487,3.4806539997589425,2812,16801,915,258.388,54.0,99,4
12.002297855000052,1790456286133957397,3.6154220001662907,2812,16801,915,258.388,54.0,99,4
12.102316500000143,1790456286233994337,3.655651999906695,2812,16801,915,258.801,55.0,99,4
12.202338895499906,1790456286334020237,3.68840100009038,2812,16801,915,258.801,55.0,99,4
12.302709318000325,1790456286434361025,3.6293319999458618,2812,16801,915,258.801,55.0,99,4
12.402228672000092,1790456286533802380,3.4694340001806268,2812,16801,915,258.801,55.0,99,4
12.502836783000475,1790456286635043410,4.703254000105517,2812,16801,915,258.801,55.0,99,4
12.602999791999991,1790456286735371878,5.034832000092138,2812,16801,915,258.952,55.0,99,4
12.702347177500087,1790456286834071439,3.7312009999368456,2812,16801,915,258.952,55.0,99,4
12.802311673000531,1790456286933936550,3.660171999854356,2812,16801,915,258.952,55.0,99,4
12.90280757949995,1790456287034956273,4.62440500041339,2812,16801,915,258.952,55.0,99,4
13.002313849000075,1790456287133984370,3.656582000076014,2812,16801,915,258.952,55.0,99,4
13.102333184000145,1790456287234009721,3.677411999888136,2812,16801,915,258.898,55.0,99,4
13.20232276950037,1790456287333985561,3.655283000171039,2812,16801,915,258.898,55.0,99,4
13.3023276050003,1790456287433988322,3.6435520000850374,2812,16801,915,258.898,55.0,99,4
13.402293435500269,1790456287533952172,3.6168329997963156,2812,16801,915,258.898,55.0,99,4
13.502309276000233,1790456287633992172,3.649371999927098,2812,16801,915,258.898,55.0,99,4
13.60236384550035,1790456287734099112,3.755391000140662,2812,16801,915,258.977,55.0,99,4
13.702333196000382,1790456287834038033,3.697112000281777,2812,16801,915,258.977,55.0,99,4
13.802318327000194,1790456287933990674,3.667912000310025,2812,16801,915,258.977,55.0,99,4
13.902544565500193,1790456288034451721,4.118949000257999,2812,16801,915,258.977,55.0,99,4
